60.2025,-154.3128,ak,port alsworth
61.5463,-149.5901,ak,wasilla
61.5841,-149.4436,ak,wasilla
61.6303,-148.9872,ak,palmer
61.523,-149.7288,ak,big lake
61.5923,-149.3959,ak,wasilla
61.9903,-151.3978,ak,skwentna
61.7327,-148.7837,ak,sutton
62.2605,-150.1101,ak,talkeetna
62.3167,-150.2314,ak,trapper creek
61.5313,-149.4784,ak,wasilla
61.8966,-150.0038,ak,willow
61.6303,-149.8181,ak,houston
63.4776,-162.1091,ak,saint michael
63.5222,-162.2881,ak,stebbins
63.8835,-160.7884,ak,unalakleet
64.6217,-162.2604,ak,elim
63.7766,-171.7017,ak,gambell
64.9319,-161.1569,ak,koyuk
64.5011,-165.4064,ak,nome
63.6797,-170.4709,ak,savoonga
64.3755,-161.1746,ak,shaktoolik
66.2306,-166.1373,ak,shishmaref
65.2402,-166.3833,ak,teller
65.6092,-168.0875,ak,wales
64.7028,-163.4219,ak,white mountain
65.3342,-166.4786,ak,brevig mission
68.1433,-151.7358,ak,anaktuvuk pass
71.2346,-156.8174,ak,barrow
70.2922,-148.6694,ak,prudhoe bay
70.1319,-143.6239,ak,kaktovik
69.7439,-163.0084,ak,point lay
68.3486,-166.7347,ak,point hope
70.6369,-160.0383,ak,wainwright
70.1927,-150.9971,ak,nuiqsut
70.4947,-157.4411,ak,atqasuk
65.9789,-161.1262,ak,buckland
66.0737,-162.714,ak,deering
66.975,-160.4228,ak,kiana
67.7269,-164.5333,ak,kivalina
66.9072,-156.8811,ak,kobuk
66.8985,-162.5981,ak,kotzebue
67.5711,-162.9653,ak,noatak
66.8364,-161.0441,ak,noorvik
66.6039,-160.0069,ak,selawik
66.8881,-157.1364,ak,shungnak
67.0861,-157.8514,ak,ambler
55.7408,-132.2564,ak,meyers chuck
55.9524,-132.7503,ak,coffman cove
55.6609,-132.5138,ak,thorne bay
55.4732,-133.1171,ak,craig
55.2087,-132.8259,ak,hydaburg
55.9169,-130.0247,ak,hyder
55.5526,-133.0555,ak,klawock
55.1215,-131.579,ak,metlakatla
56.3528,-133.6211,ak,point baker
57.0514,-135.3166,ak,sitka
59.812,-139.5505,ak,yakutat
57.5005,-134.586,ak,angoon
58.1944,-136.3433,ak,elfin cove
58.4284,-135.7615,ak,gustavus
